"id","region","year","vybyv","pribyv","coefmigr","migrplus","pop","ipc","avto","longf","longm","long","estprir","infmort","income","goods","gini","belowmin","incgroup","badwater","vrppc","percmin","totsp","famsubs","docload","unemp"
1,"Адыгея",2005,7556,8029,1.674,473,0.442147,0.1169,1.566,7.46,6.19,6.81,-4.9,10.728,3.8929,0.695,0.341,33,7,2.422,3.20954166666667,33,23.2,2.4,2.661,0.13
1,"Адыгея",2006,8108,8652,0.25,12.31,0.439798,0.0848999999999999,1.685,7.41,6.27,6.83,-4.7,8.038,4.731,0.671,0.348,32.7,6.9,2.285,4.00418333333333,32.94,23.1,1.8,2.592,0.139
1,"Адыгея",2007,8161,9382,5.02,1221,0.438252,0.113,1.828,7.49,6.28,6.88,-2.8,9.005,5.8021,0.682,0.353,30.1,6.7,2.13,5.53051666666667,30.44,23.2,3.5,2.556,0.103
1,"Адыгея",2008,6982,8641,12.47,57.83,0.43864,0.151,1.978,7.48,6.28,6.86,-2.2,8.525,8.047,0.748,0.367,23.9,6.4,2.144,6.86485,24.2,24.2,3.4,2.658,0.073
1,"Адыгея",2009,6076,7175,6.529,1099,0.43957,0.0853,2.206,7.56,6.44,6.99,-1.6,7.236,10.5558,0.692,0.384,18.4,6,2.866,7.86970833333333,18.6,24.4,3.7,2.627,0.077
1,"Адыгея",2010,6426,6900,3.979,474,0.439847,0.1008,2.356,7.57,6.43,7,-1.2,7.275,12.2787,0.68,0.385,16,5.9,2.88,8.94145833333333,16,24.3,8.9,2.638,0.093
1,"Адыгея",2011,10043,13094,36.945,3051,0.441193,0.0616,2.4,7.614,6.58,7.099,-1.2,5.6,14.2716,0.711,0.387,14.6,5.9,2.837,10.7291083333333,14.6,24.4,5.5,2.606,0.084
1,"Адыгея",2012,12734,14910,13.373,1076,0.443427,0.0655,2.504,7.696,6.635,7.168,-0.5,7.9,17.0714,0.749,0.397,11.3,5.7,2.839,12.2719083333333,11.3,24.5,5,2.575,0.081
1,"Адыгея",2013,14044,16293,13.83,2249,0.445405,0.0689,2.608,7.697,6.655,7.18,-0.6,6.8,18.5125,0.809,0.39,12,5.8,2.578,13.258025,12,24.4,5.7,2.583,0.079
1,"Адыгея",2014,14998,18002,38.009,1054,0.447788,0.1143,2.676,7.706,6.685,7.201,-0.6,8.5,22.054,0.746,0.396,11,5.7,2.442,14.5014666666667,11,25.6,5.7,2.592,0.088
