,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г.Москва,Республика Карелия,Республика Коми,Архангельская область,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г.Санкт-Петербург,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Республика Дагестан,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Ставропольский край,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Курганская область,Свердловская область,Тюменская область,Челябинская область,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский автономный округ,Ненецкий авт.округ (Нарьян-Мар),Республика Ингушетия (Магас),Ханты-Мансийский авт.округ-Югра,Ямало-Ненецкий авт.округ
Белгородская область (Белгород),0,403,888,348,1032,625,1121,160,432,806,314,716,666,601,896,505,1037,806,1619,2152,1884,1250,1279,1338,2646,1285,1226,1338,1014,1223,855,1347,897,575,1471,1223,1008,1273,970,1773,1547,1091,1502,1805,1454,2068,1594,1138,1668,926,1286,959,1326,2512,2343,2669,2254,3910,5985,3839,4498,3863,6539,4441,5529,3980,3679,3052,3987,6251,2779,9228,8463,7914,10303,9732,8290,6758,3043,1383,3085,3480
Брянская область (Брянск),403,0,608,488,752,222,769,286,400,463,133,571,263,574,528,303,723,463,1216,1838,1570,936,1040,935,2243,882,823,935,1350,1559,1197,1475,1039,911,1807,1559,1344,1609,1306,1748,1280,1001,1235,1538,1187,1788,1314,858,1643,898,1261,954,1247,2437,2076,2402,2229,3412,5907,3834,4420,3785,6461,4363,5451,3902,3601,2974,3909,6173,2704,9150,8385,7836,6255,9654,8212,6524,2765,1722,2996,3202
Владимирская область (Владимир),888,608,0,661,144,417,269,728,582,302,715,273,621,552,390,387,278,302,1111,1399,1133,499,1415,864,2012,829,910,864,1682,1891,1529,1585,1149,1243,2073,1891,1676,1941,1638,1433,744,505,699,1002,651,1180,706,829,1330,673,948,932,803,1901,1540,1866,1792,2955,5371,3588,3884,3249,5925,3827,4915,3366,3065,2438,3373,5637,6638,8614,7849,7300,9875,9118,7676,6094,2295,1903,2429,2732
Воронежская область (Воронеж),348,488,661,0,805,588,894,246,151,689,361,390,744,253,784,469,810,689,1539,1925,1657,1023,1491,1258,2536,1223,1304,1258,1076,1285,923,1126,690,653,1533,1285,1070,1335,1032,1447,1232,765,1187,1490,1139,1841,1367,911,1342,600,960,633,1000,2186,2028,2354,1928,3656,5659,3513,4172,3537,6213,4115,5203,3654,3353,2726,3661,5925,7083,8902,8137,7588,10048,9406,7964,6588,2886,1254,2825,3323
Ивановская область (Иваново),1032,752,144,805,0,561,131,872,726,394,718,417,765,696,459,531,140,394,973,1263,995,361,1476,733,1874,698,779,733,1826,2035,1673,1729,1293,1387,2217,2035,1820,2085,1782,1484,795,556,750,1053,702,1192,718,296,1381,724,999,1066,854,1929,1568,1894,1820,3496,5399,3639,3912,3277,5953,3855,4943,3394,3093,2466,3401,5665,6540,8642,7877,7328,9888,9146,7704,5991,2188,2014,2322,2625
Калужская область,625,222,417,588,561,0,578,474,461,272,320,389,340,479,337,133,532,272,1092,1647,1379,745,1141,811,2119,776,839,811,1501,1710,1348,1512,1076,473,1958,1710,1495,1760,1457,1578,1089,819,1044,1347,996,1587,1123,667,1473,728,1091,859,1065,2246,1885,2211,2059,3862,5716,3731,4229,3594,6270,4172,5260,3711,3410,2783,3718,5982,6939,8959,8194,7645,10254,9463,8021,6352,2564,1697,2795,3001
Костромская область,1121,769,269,894,131,578,0,961,815,406,807,506,782,785,468,620,91,406,854,1201,933,299,614,614,1357,579,660,614,1915,2124,1762,1818,1382,1476,2306,2124,1909,2174,1871,1609,920,681,875,993,827,1073,599,579,1506,849,1124,1165,979,1810,1449,1775,1701,3464,5280,3764,3793,3158,5834,3736,4824,3275,2974,2347,3282,6448,6476,8523,7758,7209,9854,9027,7585,5913,2124,2107,2258,2561
Курская область,160,286,728,246,872,474,961,0,337,646,154,616,543,499,736,345,876,646,1491,1992,1724,1090,1245,1210,2518,1162,1103,1210,1064,1273,911,1346,902,625,1521,1273,1058,1323,1020,1693,1387,1011,1342,1645,1294,1908,1434,978,1588,846,1206,879,1246,2432,2183,2509,2174,3880,5905,3759,4418,3783,6459,4361,5449,3900,3599,2972,3907,7073,7196,9148,8383,7834,10272,9652,8210,6648,2901,1481,3058,3338
Липецкая область,432,400,582,151,726,461,815,337,0,610,273,311,656,174,705,342,731,610,1460,1846,1578,944,1433,1179,2457,1144,1216,1179,1176,1385,1023,1075,639,737,1563,1385,1170,1435,1132,1368,1153,686,1108,1411,1060,1752,1288,832,1263,521,881,554,921,2107,1949,2275,1849,3574,5580,3434,4093,3458,6134,4036,5124,3575,3274,2647,3582,5846,6982,8823,8058,7509,9961,9327,7885,6479,2717,1370,2744,3154
Московская область,806,463,302,689,394,272,406,646,610,0,492,306,476,580,165,305,360,0,920,1475,1207,573,1246,639,1947,604,686,639,1653,1862,1500,1613,1177,1214,2101,1862,1647,1912,1609,1612,970,731,925,1228,877,1467,993,552,1509,819,1127,960,982,2127,1766,2092,2018,3669,5597,3767,4110,3475,6151,4053,5141,3592,3291,2664,3599,5863,6776,8840,8075,7526,10062,9344,7902,6193,2369,1762,2601,2806
