X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83
0,4223,2107,6319,721,509,473,605,258,2503,2946,4156,1974,1663,8801,523,1929,3802,2232,4820,2037,4128,6873,7687,258,4775,2599,9562,352,8797,8248,2678,1013,1014,1350,1682,795,2044,1076,1826,5863,2253,1501,4314,2388,1915,2846,1064,2222,1176,10615,1653,3530,2187,2187,4013,3386,1961,1218,1498,2167,439,1450,1620,1204,10066,2714,1607,1313,1748,4321,1382,3018,1660,2588,1831,1653,2222,7308,8624,3719,3497
4223,0,2328,2601,4004,4482,4048,3736,4115,3221,3117,4114,3008,3173,5386,4014,2856,1647,2669,1248,3024,257,3246,4706,4392,1110,2368,6160,4003,5407,4834,4063,3422,3910,3412,2955,3646,3584,3656,3496,2246,4905,3862,573,4009,3464,1644,3880,4382,3574,6765,3669,4984,3255,4205,449,1091,2586,3865,3150,4416,3589,3587,2784,3240,4036,2003,4066,3435,3841,708,3775,1732,2943,1914,3543,3669,4382,5023,5221,3678,2210
2107,2328,0,4212,1967,2050,2131,2180,2101,2400,1731,2741,944,928,6907,2089,887,2667,616,2725,1019,2090,4766,6098,1983,2668,851,7455,1927,6690,6141,2189,1479,1773,1748,1433,1331,1647,1447,1484,3756,2667,1578,2207,1021,1609,739,1693,2178,1368,8720,1612,3068,1252,2143,1906,1279,409,1624,850,224,1857,1306,523,903,7959,607,1866,1194,1704,2214,1459,911,630,481,1618,1612,2178,5834,6517,2304,1507
6319,2601,4212,0,5912,6309,6076,6392,6277,6071,5402,5942,4837,5094,2754,6034,4706,5262,4435,1773,4926,2465,554,3392,6195,1544,4217,3649,6139,2884,2335,5860,5424,5985,5907,5371,5543,5318,5659,5399,456,6625,5716,2295,4692,5280,3473,5905,5882,5580,4568,5597,6739,5137,5847,2306,2933,4592,5836,5062,5929,6069,5518,4735,5115,4153,3831,5920,5406,5689,2156,5671,3505,4842,3731,5359,5597,5882,4084,2711,5505,4037
721,4004,1967,5912,0,258,360,792,561,2951,3147,4242,1934,1674,8583,288,1889,3277,2192,4295,2009,3603,6466,7484,791,4368,2559,9155,707,8390,7841,3069,488,1471,1807,2073,938,2435,1533,2217,5456,2710,1958,3907,2454,2306,2439,1521,2670,1563,10396,2101,3948,1998,2635,3606,2979,1758,1675,1509,2624,896,1802,1444,1164,9659,2433,2064,1544,2196,3914,1839,2611,1620,2181,2222,2101,2670,7277,8217,3805,3583
509,4482,2050,6309,258,0,118,498,299,2786,2617,4199,1921,1507,9051,28,1833,5501,2164,5112,1840,4264,6956,9380,618,4822,2491,9823,381,9067,8431,2998,574,1383,1722,1903,794,2233,1254,2014,5878,2730,1697,4292,2260,2107,2735,1481,2475,1370,10987,1762,3629,1782,2298,4037,3384,2058,2187,1379,2487,697,1645,1643,1167,10610,2584,1975,1446,1936,4291,1591,2886,1613,2457,2036,1762,2475,11085,8885,4205,3540
473,4048,2131,6076,360,118,0,544,313,2712,3155,4113,2098,1838,8627,132,2053,3441,2356,4459,2173,3767,6630,7628,543,4532,2723,9319,459,8554,8005,2887,652,1223,1559,1891,1004,2253,1285,2035,5620,2462,1710,4071,2597,2124,2603,1273,2431,1385,10440,1862,3739,2141,2396,3770,3143,1922,1427,1673,2376,648,1659,1608,1328,9823,2597,1816,1522,1957,4078,1591,2775,1784,2345,2040,1862,2431,7335,8381,3676,3454
605,3736,2180,6392,792,498,544,0,599,2712,3155,3704,2047,1736,8315,594,2002,3873,2305,4891,2110,4199,6946,7344,543,4848,2672,9635,285,8870,8321,2887,1084,1223,1559,1891,868,2253,1285,2035,5935,2462,1710,4387,2516,2124,2919,1273,2431,1385,10132,1862,3739,2060,2396,4086,3459,2034,1427,1571,2376,648,1659,1693,1277,10139,2787,1816,1503,1957,4394,1591,3091,1733,2661,2040,1862,2431,7022,8697,3267,3045
258,4115,2101,6277,561,299,313,599,0,2497,2940,4085,1968,1657,8706,363,1923,3642,2226,4660,2031,3968,6831,7634,328,4733,2593,9520,346,8755,8206,2672,789,1008,1344,1676,853,2038,1070,1820,5821,2247,1495,4272,2382,1909,2804,1058,2216,1170,10507,1647,3524,1926,2181,3971,3344,1955,1212,1492,2161,433,1444,1614,1198,10024,2708,1601,1307,1742,4279,1376,2976,1654,2546,1825,1647,2216,7299,8582,3648,3426
2503,3221,2400,6071,2951,2786,2712,2712,2497,0,1655,3001,1762,1523,8141,2762,1717,4606,1784,4584,1669,3949,6625,6345,2350,4527,1864,9314,2459,8549,8000,854,2463,1619,1216,1111,2027,753,1539,973,5615,1368,1092,4066,1390,854,2601,1491,393,1460,10514,920,1027,1263,464,3765,3138,2348,1337,1666,644,2064,1153,1966,1810,9818,2240,1073,1430,755,4073,1150,2566,1821,2492,933,920,393,5622,8376,2564,3026
