X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X80,X81,X82,X83
0,0.0002367985,0.0004746084,0.0001582529,0.0013869626,0.0019646365,0.0021141649,0.0016528926,0.003875969,0.0003995206,0.0003394433,0.000240616,0.0005065856,0.0006013229,0.0001136235,0.0019120459,0.0005184033,0.0002630195,0.0004480287,0.0002074689,0.000490918,0.0002422481,0.0001454969,0.0001300898,0.003875969,0.0002094241,0.0003847634,0.0001045806,0.0028409091,0.0001136751,0.0001212415,0.000373413,0.0009871668,0.0009861933,0.0007407407,0.0005945303,0.0012578616,0.0004892368,0.000929368,0.0005476451,0.0001705611,0.0004438526,0.0006662225,0.0002318034,0.0004187605,0.0005221932,0.0003513703,0.0009398496,0.000450045,0.0008503401,9.42063118228921E-05,0.0006049607,0.0002832861,0.0004572474,0.0004572474,0.0002491901,0.0002953337,0.0005099439,0.0008210181,0.0006675567,0.0004614675,0.0022779043,0.0006896552,0.000617284,0.0008305648,9.93443274389032E-05,0.0003684598,0.0006222775,0.0007616146,0.0005720824,0.0002314279,0.000723589,0.0003313453,0.0006024096,0.0003863988,0.0005461496,0.0001368363,0.0001159555,0.0002688895,0.0002859594
0.0002367985,0,0.0004295533,0.0003844675,0.0002497502,0.0002231147,0.0002470356,0.000267666,0.0002430134,0.0003104626,0.0003208213,0.0002430724,0.0003324468,0.0003151592,0.0001856665,0.0002491281,0.0003501401,0.0006071645,0.0003746722,0.0008012821,0.0003306878,0.0038910506,0.0003080715,0.0002124947,0.0002276867,0.0009009009,0.0004222973,0.0001623377,0.0002498126,0.0001849454,0.000206868,0.0002461236,0.0002922268,0.0002557545,0.0002930832,0.0003384095,0.0002742732,0.0002790179,0.000273523,0.0002860412,0.000445236,0.0002038736,0.0002589332,0.0017452007,0.0002494388,0.0002886836,0.0006082725,0.000257732,0.0002282063,0.0002797985,0.0001478197,0.0002725538,0.0002006421,0.0003072197,0.0002378121,0.0022271715,0.0009165903,0.0003866976,0.0002587322,0.0003174603,0.0002264493,0.0002786291,0.0002787845,0.0003591954,0.000308642,0.0002477701,0.0004992511,0.000245942,0.0002911208,0.0002603489,0.0014124294,0.0002649007,0.0005773672,0.0003397893,0.000522466,0.0002822467,0.0001990842,0.0001915342,0.0002718869,0.0004524887
0.0004746084,0.0004295533,0,0.0002374169,0.0005083884,0.0004878049,0.0004692633,0.0004587156,0.0004759638,0.0004166667,0.0005777008,0.0003648304,0.001059322,0.0010775862,0.0001447807,0.0004786979,0.0011273957,0.0003749531,0.0016233766,0.0003669725,0.0009813543,0.0004784689,0.0002098196,0.0001639882,0.0005042864,0.0003748126,0.0011750881,0.0001341382,0.0005189414,0.0001494768,0.0001628399,0.0004568296,0.0006761325,0.0005640158,0.0005720824,0.0006978367,0.0007513148,0.0006071645,0.000691085,0.0006738544,0.0002662407,0.0003749531,0.0006337136,0.0004531038,0.0009794319,0.000621504,0.00135318,0.0005906675,0.0004591368,0.0007309942,0.0001146789,0.0006203474,0.0003259452,0.000798722,0.0004666356,0.000524659,0.0007818608,0.0024449878,0.0006157635,0.0011764706,0.0044642857,0.000538503,0.0007656968,0.0019120459,0.0011074197,0.0001256439,0.0016474465,0.0005359057,0.0008375209,0.0005868545,0.0004516712,0.000685401,0.0010976948,0.0015873016,0.0020790021,0.000618047,0.000171409,0.0001534448,0.0004340278,0.00066357
0.0001582529,0.0003844675,0.0002374169,0,0.0001691475,0.0001585037,0.000164582,0.0001564456,0.0001593118,0.0001647175,0.0001851166,0.0001682935,0.0002067397,0.0001963094,0.0003631082,0.0001657275,0.0002124947,0.0001900418,0.0002254791,0.0005640158,0.0002030045,0.0004056795,0.0018050542,0.0002948113,0.0001614205,0.0006476684,0.0002371354,0.0002740477,0.000162893,0.0003467406,0.0004282655,0.0001706485,0.0001843658,0.0001670844,0.0001692907,0.0001861851,0.0001804077,0.0001880406,0.0001767097,0.0001852195,0.0021929825,0.0001509434,0.0001749475,0.0004357298,0.0002131287,0.0001893939,0.0002879355,0.000169348,0.0001700102,0.0001792115,0.0002189142,0.0001786671,0.00014839,0.0001946661,0.0001710279,0.0004336513,0.0003409478,0.00021777,0.0001713502,0.0001975504,0.0001686625,0.0001647718,0.0001812251,0.0002111932,0.0001955034,0.0002407898,0.0002610285,0.0001689189,0.0001849797,0.0001757778,0.0004638219,0.0001763357,0.0002853067,0.0002065262,0.0002680247,0.000186602,0.000244858,0.0003688676,0.000181653,0.0002477087
0.0013869626,0.0002497502,0.0005083884,0.0001691475,0,0.003875969,0.0027777778,0.0012626263,0.0017825312,0.0003388682,0.0003177629,0.0002357379,0.0005170631,0.0005973716,0.0001165094,0.0034722222,0.0005293806,0.0003051572,0.0004562044,0.0002328289,0.0004977601,0.0002775465,0.0001546551,0.0001336184,0.0012642225,0.0002289377,0.0003907776,0.0001092299,0.0014144272,0.0001191895,0.0001275348,0.000325839,0.0020491803,0.0006798097,0.0005534034,0.0004823927,0.0010660981,0.0004106776,0.0006523157,0.00045106,0.0001832845,0.0003690037,0.0005107252,0.0002559509,0.000407498,0.0004336513,0.0004100041,0.0006574622,0.0003745318,0.0006397953,9.61908426317815E-05,0.0004759638,0.0002532928,0.0005005005,0.0003795066,0.0002773156,0.0003356831,0.0005688282,0.0005970149,0.0006626905,0.0003810976,0.0011160714,0.000554939,0.0006925208,0.0008591065,0.0001035304,0.0004110152,0.0004844961,0.0006476684,0.0004553734,0.0002554931,0.0005437738,0.000382995,0.000617284,0.0004585053,0.000450045,0.0001374193,0.0001216989,0.0002628121,0.0002790957
0.0019646365,0.0002231147,0.0004878049,0.0001585037,0.003875969,0,0.0084745763,0.0020080321,0.0033444816,0.0003589375,0.0003821169,0.0002381519,0.0005205622,0.00066357,0.000110485,0.0357142857,0.0005455537,0.0001817851,0.0004621072,0.0001956182,0.0005434783,0.0002345216,0.0001437608,0.0001066098,0.001618123,0.0002073828,0.0004014452,0.0001018019,0.0026246719,0.0001102901,0.0001186099,0.0003335557,0.0017421603,0.0007230658,0.0005807201,0.0005254861,0.0012594458,0.000447828,0.0007974482,0.0004965243,0.0001701259,0.0003663004,0.0005892752,0.0002329916,0.0004424779,0.0004746084,0.0003656307,0.0006752194,0.0004040404,0.000729927,9.10166560480568E-05,0.0005675369,0.000275558,0.0005611672,0.000435161,0.0002477087,0.0002955083,0.0004859086,0.0004572474,0.0007251632,0.0004020909,0.0014347202,0.0006079027,0.0006086427,0.000856898,9.42507068803016E-05,0.0003869969,0.0005063291,0.0006915629,0.0005165289,0.0002330459,0.0006285355,0.0003465003,0.0006199628,0.0004070004,0.0004911591,0.000090212,0.0001125492,0.0002378121,0.0002824859
0.0021141649,0.0002470356,0.0004692633,0.000164582,0.0027777778,0.0084745763,0,0.0018382353,0.0031948882,0.0003687316,0.0003169572,0.0002431315,0.0004766444,0.0005440696,0.0001159152,0.0075757576,0.0004870921,0.0002906132,0.0004244482,0.0002242655,0.0004601933,0.0002654632,0.0001508296,0.000131096,0.0018416206,0.0002206531,0.000367242,0.0001073077,0.0021786492,0.0001169044,0.0001249219,0.0003463803,0.0015337423,0.0008176615,0.0006414368,0.0005288207,0.0009960159,0.0004438526,0.0007782101,0.0004914005,0.0001779359,0.0004061738,0.0005847953,0.0002456399,0.0003850597,0.0004708098,0.0003841721,0.000785546,0.0004113534,0.0007220217,9.57854406130268E-05,0.0005370569,0.0002674512,0.0004670715,0.0004173623,0.000265252,0.0003181674,0.0005202914,0.0007007708,0.0005977286,0.0004208754,0.0015432099,0.0006027728,0.0006218905,0.000753012,0.0001018019,0.0003850597,0.0005506608,0.0006570302,0.0005109862,0.0002452182,0.0006285355,0.0003603604,0.0005605381,0.0004264392,0.0004901961,0.0001363327,0.0001193175,0.0002720348,0.0002895194
0.0016528926,0.000267666,0.0004587156,0.0001564456,0.0012626263,0.0020080321,0.0018382353,0,0.0016694491,0.0003687316,0.0003169572,0.0002699784,0.0004885198,0.0005760369,0.0001202646,0.0016835017,0.0004995005,0.0002581978,0.0004338395,0.0002044572,0.0004739336,0.0002381519,0.0001439678,0.0001361656,0.0018416206,0.0002062706,0.0003742515,0.0001037883,0.0035087719,0.0001127396,0.0001201779,0.0003463803,0.0009225092,0.0008176615,0.0006414368,0.0005288207,0.0011520737,0.0004438526,0.0007782101,0.0004914005,0.000168492,0.0004061738,0.0005847953,0.0002279462,0.0003974563,0.0004708098,0.0003425831,0.000785546,0.0004113534,0.0007220217,9.86971969996052E-05,0.0005370569,0.0002674512,0.0004854369,0.0004173623,0.0002447381,0.0002891009,0.0004916421,0.0007007708,0.0006365372,0.0004208754,0.0015432099,0.0006027728,0.0005906675,0.0007830854,9.86290561199329E-05,0.0003588088,0.0005506608,0.000665336,0.0005109862,0.0002275831,0.0006285355,0.0003235199,0.000577034,0.0003757986,0.0004901961,0.0001424096,0.0001149822,0.0003060912,0.0003284072
0.003875969,0.0002430134,0.0004759638,0.0001593118,0.0017825312,0.0033444816,0.0031948882,0.0016694491,0,0.0004004806,0.0003401361,0.000244798,0.0005081301,0.0006035003,0.0001148633,0.0027548209,0.0005200208,0.0002745744,0.0004492363,0.0002145923,0.0004923683,0.0002520161,0.0001463915,0.0001309929,0.0030487805,0.0002112825,0.0003856537,0.000105042,0.0028901734,0.0001142204,0.0001218621,0.0003742515,0.0012674271,0.0009920635,0.0007440476,0.0005966587,0.0011723329,0.0004906771,0.0009345794,0.0005494505,0.0001717918,0.0004450378,0.0006688963,0.0002340824,0.0004198153,0.0005238345,0.0003566334,0.0009451796,0.0004512635,0.0008547009,9.51746454744456E-05,0.0006071645,0.0002837684,0.0005192108,0.0004585053,0.0002518257,0.0002990431,0.000511509,0.0008250825,0.0006702413,0.0004627487,0.0023094688,0.0006925208,0.0006195787,0.0008347245,9.97605746209098E-05,0.0003692762,0.0006246096,0.0007651109,0.0005740528,0.0002336995,0.0007267442,0.0003360215,0.0006045949,0.000392773,0.0005479452,0.0001370051,0.000116523,0.0002741228,0.0002918856
0.0003995206,0.0003104626,0.0004166667,0.0001647175,0.0003388682,0.0003589375,0.0003687316,0.0003687316,0.0004004806,0,0.0006042296,0.0003332223,0.0005675369,0.0006565988,0.000122835,0.0003620565,0.0005824112,0.0002171081,0.0005605381,0.0002181501,0.0005991612,0.0002532287,0.0001509434,0.0001576044,0.0004255319,0.0002208968,0.0005364807,0.0001073653,0.0004066694,0.0001169727,0.000125,0.0011709602,0.0004060089,0.0006176652,0.0008223684,0.00090009,0.0004933399,0.0013280212,0.0006497726,0.0010277492,0.0001780944,0.0007309942,0.0009157509,0.000245942,0.0007194245,0.0011709602,0.0003844675,0.0006706908,0.0025445293,0.0006849315,9.51112801978315E-05,0.0010869565,0.0009737098,0.0007917656,0.0021551724,0.0002656042,0.0003186743,0.0004258944,0.0007479432,0.0006002401,0.001552795,0.0004844961,0.0008673027,0.000508647,0.0005524862,0.0001018537,0.0004464286,0.0009319664,0.0006993007,0.0013245033,0.0002455193,0.0008695652,0.0003897116,0.0005491488,0.0004012841,0.0010718114,0.0001778726,0.0001193887,0.0003900156,0.0003304693
