m,e,sd,z,p
-0.028,-0.012,0.019,-0.822,0.205
-0.029,-0.012,0.026,-0.625,0.266
-0.082,-0.012,0.074,-0.942,0.173
-0.019,-0.012,0.019,-0.327,0.372
0.011,-0.012,0.026,0.906,0.182
-0.123,-0.012,0.074,-1.488,0.068
-0.017,-0.012,0.019,-0.233,0.408
0.007,-0.012,0.026,0.748,0.227
-0.064,-0.012,0.074,-0.694,0.244
-0.016,-0.012,0.019,-0.19,0.425
0.006,-0.012,0.026,0.698,0.242
-0.048,-0.012,0.074,-0.48,0.316
-0.025,-0.012,0.019,-0.646,0.259
-0.028,-0.012,0.026,-0.613,0.27
-0.025,-0.012,0.074,-0.174,0.431
-0.033,-0.012,0.019,-1.065,0.143
-0.011,-0.012,0.026,0.054,0.478
0.013,-0.012,0.074,0.336,0.369
-0.001,-0.012,0.019,0.577,0.282
0.017,-0.012,0.026,1.136,0.128
0.074,-0.012,0.074,1.173,0.12
-0.02,-0.012,0.019,-0.416,0.339
-0.004,-0.012,0.026,0.305,0.38
-0.047,-0.012,0.074,-0.477,0.317
-0.026,-0.012,0.019,-0.727,0.234
-0.034,-0.012,0.026,-0.846,0.199
-0.021,-0.012,0.074,-0.114,0.455
